연번,동별,구분,시설명,소재지,연락처,데이터기준일자
35,만촌1동,공설,샘골경로당,공경로2길 21,053-752-3132,2025-09-15
36,만촌1동,아파트,럭키골든맨션경로당,효행로 24,053-942-2133,2025-09-15
37,만촌1동,아파트,만촌보성타운경로당,공경로 70,053-751-5499,2025-09-15
38,만촌1동,아파트,메트로팔레스5단지경로당,동원로 100,053-741-5108 ,2025-09-15
39,만촌1동,아파트,메트로팔레스2단지경로당,동원로 123,053-215-5559,2025-09-15
40,만촌1동,아파트,메트로팔레스1단지경로당,동원로 135,053-214-5100,2025-09-15
41,만촌1동,아파트,메트로팔레스3단지경로당,동원로 110,053-742-0318,2025-09-15
42,만촌1동,아파트,만촌화성파크스위트경로당,화랑로34길 141,053-219-0088,2025-09-15
43,만촌1동,아파트,만촌우방하이츠경로당,화랑로 26,053-744-8443,2025-09-15
44,만촌2동,공설,지장경로당,무열로 65-1,053-741-0390,2025-09-15
45,만촌2동,공설,만촌경로당,동원로6길 50-13,053-741-1666,2025-09-15
46,만촌2동,공설,달빛경로당,국채보상로 214길 21,0,2025-09-15
47,만촌2동,아파트,태왕리더스경로당,무열로 47,053-213-1168,2025-09-15
48,만촌3동,공설,만촌3동 제1경로당,달구벌대로526안길6,053-751-8818,2025-09-15
49,만촌3동,공설,각계경로당,달구벌대로530길146,053-745-1123,2025-09-15
50,만촌3동,공설,두리봉경로당,달구벌대로530길92,053-755-5346,2025-09-15
51,만촌3동,공설,두봉골경로당,달구벌대로 522길 121-20,0,2025-09-15
52,만촌3동,아파트,산장맨션경로당,교학로 111,053-741-4434,2025-09-15
53,만촌3동,아파트,만촌2차우방타운경로당,교학로11길 91,053-744-0580,2025-09-15
54,만촌3동,아파트,만촌우방타운경로당,교학로11길 46,053-755-5055,2025-09-15
55,만촌3동,아파트,수성2차 e편한세상경로당,달구벌대로522길 33,053-294-4959,2025-09-15
56,만촌3동,아파트,우방팔레스경로당,청수로 551,053-744-5066,2025-09-15
57,만촌3동,아파트,만촌3차화성파크드림경로당,교학로 13,053-945-4700,2025-09-15
58,수성1가,공설,수성1가 제1경로당,수성로53길 50-4,053-764-8996,2025-09-15
59,수성1가,공설,수성1가 제2경로당,달구벌대로456길 11,053-753-1582,2025-09-15
60,수성1가,아파트,신세계타운만수당경로당,신천동로 320,053-767-1489,2025-09-15
61,수성1가,아파트,오성타운경로당,신천동로 380,053-744-2361,2025-09-15
62,수성1가,아파트,태왕하이츠리버뷰경로당,달구벌대로454길 9,053-243-0071,2025-09-15
63,수성1가,아파트,수성그린타운경로당,달구벌대로458길 17,053-759-9449,2025-09-15
64,수성1가,아파트,한가람타운경로당,명덕로 368,053-761-7695,2025-09-15
65,수성1가,아파트,삼우1차수성타운경로당,달구벌대로456길 19,053-745-3343,2025-09-15
66,수성1가,아파트,수성대백인터빌경로당,수성로69길 14,053-213-8421,2025-09-15
67,수성1가,아파트,영남타워경로당,달구벌대로456길 43,053-744-2240,2025-09-15
68,수성1가,아파트,수성서한이다음경로당,수성로69길 15,053-255-2466,2025-09-15
69,수성1가,아파트,수성동양엘레브경로당,명덕로73길 40,053-741-7966,2025-09-15
70,수성1가,아파트,유성푸르나임경로당,수성로75길 16,053-741-2209,2025-09-15
71,수성1가,아파트,수성롯데캐슬더퍼스트1단지경로당,수성로69길 70,053-741-3651,2025-09-15
72,수성1가,아파트,수성롯데캐슬더퍼스트2단지경로당,수성로69길 65,0,2025-09-15
73,수성1가,아파트,수성롯데캐슬더퍼스트3단지경로당,수성로69길 41,053-741-3651,2025-09-15
74,"수성2,3가",공설,한마음경로당,들안로52길 35-1,053-767-0545,2025-09-15
75,"수성2,3가",공설,참마음경로당,수성로60길 45-1,053-766-0315,2025-09-15
76,"수성2,3가",공설,열린경로당,명덕로 405-4,053-741-6850,2025-09-15
77,"수성2,3가",아파트,수성3가롯데캐슬경로당,명덕로 455,053-745-0102,2025-09-15
78,"수성2,3가",아파트,수성코오롱하늘채경로당,들안로 300,053-746-1026,2025-09-15
79,"수성2,3가",아파트,롬바드아파트경로당,들안로 325,053-742-5801,2025-09-15
80,수성4가,공설,수성4가경로당,범어천로 151,053-754-6742,2025-09-15
81,수성4가,공설,미수경로당,들안로81길 29,053-743-5155,2025-09-15
82,수성4가,공설,신천경로당,신천동로88길 1-15,053-743-0181,2025-09-15
83,수성4가,아파트,수성보성타운경로당,수성로 412,053-754-2686,2025-09-15
84,수성4가,아파트,수성화성쌍용타운경로당,수성로 411,053-241-3677,2025-09-15
85,수성4가,아파트,대림e-편한세상경로당,들안로73길 50-7,053-218-3220,2025-09-15
86,수성4가,아파트,우방사랑마을아파트경로당,달구벌대로 2317,053-742-3442,2025-09-15
87,수성4가,아파트,수성우방팔레스경로당,수성로 400,053-741-1175,2025-09-15
88,수성4가,아파트,범어삼환나우빌경로당,범어천로 197,053-741-6653,2025-09-15
89,수성4가,아파트,수성데시앙경로당,들안로 360,053-745-3030,2025-09-15
90,수성4가,아파트,수성롯데캐슬경로당,달구벌대로 2315,053-742-0548,2025-09-15
91,황금1동,아파트,신천지타운경로당,청호로46길 16,053-767-1960,2025-09-15
92,황금1동,아파트,황금종합복지관경로당,청수로45길 41,053-763-2453,2025-09-15
93,황금1동,아파트,캐슬골드파크3단지경로당,청수로 257,053-768-5596466-3027,2025-09-15
94,황금1동,아파트,캐슬골드파크4단지경로당,청수로 261,053-768-5597,2025-09-15
95,황금1동,아파트,캐슬골드파크5단지경로당,청수로 214,053-768-5598,2025-09-15
96,황금1동,아파트,캐슬골드파크1단지경로당,청수로 213,053-768-5591,2025-09-15
97,황금1동,아파트,황금태왕아너스경로당,청호로345,053-741-1486,2025-09-15
98,황금1동,아파트,황금힐스테이트경로당,청수로274,053-219-9300,2025-09-15
99,황금1동,아파트,수성2차우방타운경로당,청호로 330,0,2025-09-15
100,황금1동,아파트,신천지하이츠경로당,청호로229,0,2025-09-15
101,황금1동,아파트,화성고려파크뷰경로당,청수로40길 29,0,2025-09-15
102,황금2동,공설,황금2동 제1경로당,희망로36길 32,053-764-5114,2025-09-15
103,황금2동,공설,황금2동 제2경로당,들안로40안길 7-20,053-761-1057,2025-09-15
104,황금2동,아파트,황금미진아파트경로당,청솔로12길 40,053-766-3241,2025-09-15
105,황금2동,아파트,힐스테이트황금엘포레경로당,청솔로 16,0,2025-09-15
106,중동,공설,중동제1경로당,수성로39안길 5,053-768-6818,2025-09-15
107,중동,공설,중부리경로당,수성로52안길 7-10,053-763-4439,2025-09-15
108,중동,공설,상록수경로당,들안로29길 26-18,053-761-5782,2025-09-15
109,중동,아파트,광명아파트경로당,수성로 165,053-761-9192,2025-09-15
110,중동,아파트,서울중동경로당,신천동로 216,053-765-3087,2025-09-15
111,중동,아파트,수성효성해링턴플레이스경로당,희망로24길 24,0,2025-09-15
112,중동,아파트,수성골드클래스더센텀경로당,수성로 185,0,2025-09-15
113,상동,공설,상동공원경로당,들안로13길 118,053-767-3569,2025-09-15
114,상동,공설,상동제2경로당,수성로15길 42-6,053-761-4335,2025-09-15
115,상동,공설,한들경로당,수성로32길 99,053-762-6675,2025-09-15
116,상동,공설,덕화경로당,수성로14길 72-1,053-763-0801,2025-09-15
117,상동,아파트,상동청구타운경로당,상동247,053-768-9240,2025-09-15
118,상동,아파트,정화우방팔레스경로당,수성로135,053-764-7135,2025-09-15
119,상동,아파트,수성동일하이빌경로당,수성로 71,053-763-0056,2025-09-15
120,파동,공설,파동 제1경로당,파동로38길 45-13,053-763-1441,2025-09-15
121,파동,공설,파동 제2경로당,파동로18길 56,053-767-4660,2025-09-15
122,파동,아파트,대자연1차경로당,파동로 120,053-767-3082,2025-09-15
123,파동,아파트,대자연2차경로당,파동로 84,053-764-6552,2025-09-15
124,파동,아파트,송원맨션경로당,파동로 223,053-767-3668,2025-09-15
125,파동,아파트,동신실리안경로당,파동로 209,053-764-8299,2025-09-15
126,파동,아파트,화성파크뷰경로당,파동로 19,053-761-9556,2025-09-15
127,파동,아파트,청구하이츠경로당,파동로12길 40,053-768-7106,2025-09-15
128,파동,아파트,파동 태왕리더스경로당,파동로 105,053-762-1005,2025-09-15
129,파동,아파트,수성못코오롱하늘채경로당,파동로 222,053-765-2511,2025-09-15
130,파동,아파트,남광타운경로당,파동로 22길 3,053-767-1383,2025-09-15
131,파동,아파트,수성더팰리스푸르지오더샵1단지경로당,파동로 190,053-243-9160,2025-09-15
132,파동,아파트,수성더팰리스푸르지오더샵2단지경로당,파동로 188,053-243-9160,2025-09-15
133,파동,아파트,수성해모로하이엔경로당,파동로 47,0,2025-09-15
134,파동,아파트,수성아이파크경로당,파동로22길 15,0,2025-09-15
135,두산동,공설,두산경로당,들안로8길 68-5,053-767-0744,2025-09-15
136,두산동,공설,두산제1경로당,지범로21-11,053-762-0883,2025-09-15
137,두산동,아파트,대우트럼프월드 수성경로당,동대구로 59,053-766-0990,2025-09-15
138,두산동,아파트,수성SK리더스뷰경로당,동대구로 95,053-762-9100,2025-09-15
139,두산동,아파트,수성레이크푸르지오경로당,청수로24길 91,0,2025-09-15
140,지산1동,공설,지산경로당,지산로11길 6-19,053-781-0433,2025-09-15
141,지산1동,공설,수동경로당,지범로31안길 3-14,053-782-5615,2025-09-15
142,지산1동,공설,새마을경로당,무학로31길 23,053-761-1800,2025-09-15
143,지산1동,공설,지산무학경로당,청수로38길 53-11,053-761-1956,2025-09-15
144,지산1동,아파트,청산맨션경로당,지범로21길 15,053-783-8675,2025-09-15
145,지산1동,아파트,지산타운경로당,용학로 303,053-782-0570,2025-09-15
146,지산1동,아파트,지산서한이다음아파트경로당,용학로 313,053-782-3873,2025-09-15
147,지산1동,아파트,녹원맨션경로당,무학로 189,053-766-7534,2025-09-15
148,지산1동,아파트,동서맨션경로당,지산로 56,053-782-8381,2025-09-15
149,지산1동,아파트,청구타운경로당,지산로 48,053-781-5440,2025-09-15
150,지산1동,아파트,시영5단지복지관경로당,용학로 325,053-783-8222,2025-09-15
151,지산1동,아파트,동서무학맨션경로당,지산로14길 83,053-781-2012,2025-09-15
152,지산1동,아파트,보성맨션경로당,지범로21길 3,053-783-2801,2025-09-15
153,지산2동,공설,거성경로당,용학로48길 25-1,053-781-6668,2025-09-15
154,지산2동,공설,지산2동경로당,용학로33길 17-16,053-783-8887,2025-09-15
155,지산2동,아파트,지산목련아파트경로당,용학로42길 13,053-783-3735,2025-09-15
156,지산2동,아파트,호반송학경로당,용학로46길 40,053-782-1591,2025-09-15
157,지산2동,아파트,지산우방타운경로당,지산로 32,053-784-0410,2025-09-15
158,지산2동,아파트,현대맨션경로당,지범로22길 20,053-782-6155,2025-09-15
159,지산2동,아파트,지산리더스경로당,지산로 5,053-784-6999,2025-09-15
160,지산2동,아파트,한라타운경로당,지범로22길 9,053-781-8522,2025-09-15
161,지산2동,아파트,화성맨션경로당,용학로35길 62,053-783-0170,2025-09-15
162,지산2동,아파트,영남맨션경로당,지산로 31,053-782-1305,2025-09-15
163,지산2동,아파트,지산에덴경로당,용학로 223,053-784-4410,2025-09-15
164,지산2동,아파트,협화맨션경로당,지범로22길 23,053-784-1518,2025-09-15
165,지산2동,아파트,대우로얄하이츠경로당,용학로36길 20,053-783-1514,2025-09-15
166,지산2동,아파트,지산보성경로당,지범로22길 10,053-784-8885,2025-09-15
167,지산2동,아파트,더샵수성라크에르경로당,지산로3길 33,0,2025-09-15
168,범물1동,공설,범물경로당,범안로16길 46,053-782-1161,2025-09-15
169,범물1동,아파트,용지2단지복지관경로당,범안로 79,053-784-8335,2025-09-15
170,범물1동,아파트,범물용지아파트경로당,범안로 77,053-784-8334,2025-09-15
171,범물1동,아파트,범물하이츠경로당,용학로 336,053-781-7122,2025-09-15
172,범물1동,아파트,보성타운경로당,지범로39길 56,053-261-3232,2025-09-15
173,범물1동,아파트,범물보성맨션경로당,용학로 316,053-783-2801,2025-09-15
174,범물1동,아파트,범물청구타운경로당,지범로39길 12,053-782-9360,2025-09-15
175,범물1동,아파트,범물영남타운경로당,용학로 316,053-214-5889,2025-09-15
176,범물2동,공설,범물공원경로당,지범로 232,053-783-8336,2025-09-15
177,범물2동,공설,범물2동경로당,지범로48길 14-1,053-784-6145,2025-09-15
178,범물2동,아파트,범물맨션경로당,용학로 272,053-782-4734,2025-09-15
179,범물2동,아파트,서한화성경로당,지범로40길 11,053-784-7837,2025-09-15
180,범물2동,아파트,청아맨션경로당,범안로 40,053-782-2355,2025-09-15
181,범물2동,아파트,신화맨션경로당,지범로40길 6,053-781-3334,2025-09-15
182,범물2동,아파트,범물동서경로당,범안로 40,053-784-1245,2025-09-15
183,범물2동,아파트,삼주타운경로당,범안로8길 35,053-784-9950,2025-09-15
184,범물2동,아파트,에덴타운경로당,지범로40길 6,053-783-5633,2025-09-15
185,범물2동,아파트,보성송정타운경로당,지범로46길 43,053-784-5524,2025-09-15
186,범물2동,아파트,두성타운경로당,지범로 300,053-782-8068,2025-09-15
187,범물2동,아파트,우방미진하이츠경로당,지범로 290,053-784-1770,2025-09-15
188,범물2동,아파트,청림맨션경로당,지범로54길 15,053-782-6371,2025-09-15
189,범물2동,아파트,범물인앤인아파트경로당,지범로52길 69,0,2025-09-15
190,범물2동,아파트,수성하늘채르레브경로당,지범로48길 21,0,2025-09-15
191,고산1동,공설,신매경로당,욱수천로 78,053-792-2340,2025-09-15
192,고산1동,공설,욱수경로당,욱수천로 15,053-791-6222,2025-09-15
193,고산1동,공설,신매공원경로당,달구벌대로650길 59-6,053-793-5145,2025-09-15
194,고산1동,공설,두리공원경로당,"고산로4안길 31, 101호/102호",0,2025-09-15
195,고산1동,아파트,천마타운경로당,신매로 71,053-792-4698,2025-09-15
196,고산1동,아파트,태성맨션경로당,고산로 50,053-792-5962,2025-09-15
197,고산1동,아파트,에덴맨션경로당,고산로12길 34,053-791-3455,2025-09-15
198,고산1동,아파트,"대백,신화,창신아파트경로당",고산로 90,053-792-5638,2025-09-15
199,고산1동,아파트,시지두성타운경로당,고산로 30,053-792-8335,2025-09-15
200,고산1동,아파트,"삼주,한라,협화아파트경로당",신매로 91,053-793-7720,2025-09-15
201,고산1동,아파트,시지보성서한아파트경로당,신매로 21,053-218-4737,2025-09-15
202,고산1동,아파트,시지청솔타운경로당,고산로 70,053-792-2933,2025-09-15
203,고산1동,아파트,시지동서타운경로당,신매로 41,053-792-6018,2025-09-15
204,고산1동,아파트,신화빌라트경로당,달구벌대로650길 29,053-793-3768,2025-09-15
205,고산1동,아파트,태왕5차월드하이츠경로당,욱수천로 7,053-216-0767,2025-09-15
206,고산1동,아파트,시지태왕3차하이츠경로당,욱수천로 77,053-792-1246,2025-09-15
207,고산1동,아파트,태왕레전드경로당,욱수천로 27,053-791-0258,2025-09-15
208,고산1동,아파트,사월화성파크드림 2단지경로당,달구벌대로 3304-1,053-794-8112,2025-09-15
209,고산1동,아파트,사월화성파크드림 3단지경로당,달구벌대로 3304-2,053-794-8103,2025-09-15
210,고산1동,아파트,시지효성백년가약 1단지경로당,달구벌대로 3280,053-795-5114,2025-09-15
211,고산1동,아파트,시지효성백년가약 2단지경로당,달구벌대로 3280-1,053-795-6114,2025-09-15
212,고산1동,아파트,웰리치시지경로당,욱수천로 55,053-795-1115,2025-09-15
213,고산2동,공설,시지경로당,달구벌대로619길 2,053-791-4925,2025-09-15
214,고산2동,공설,가천경로당,고모로24길 25,053-791-8002,2025-09-15
215,고산2동,공설,연호경로당,범안로91길 70,053-793-4040,2025-09-15
216,고산2동,공설,고모경로당,고모로39길 20,053-793-6008,2025-09-15
217,고산2동,공설,대흥경로당,월드컵로6길 54,053-791-3799,2025-09-15
218,고산2동,공설,이천경로당,달구벌대로574길 192-1,053-792-6979,2025-09-15
219,고산2동,공설,노변경로당,노변로 77,053-791-9113,2025-09-15
220,고산2동,공설,팔현경로당,팔현길 88-5,053-793-1333,2025-09-15
221,고산2동,공설,삼덕경로당,범안로64길 18-11,0,2025-09-15
222,고산2동,공설,연호동 제2경로당,달구벌대로 569길 20,0,2025-09-15
223,고산2동,아파트,청구전원아파트경로당,시지로 45,053-791-6719,2025-09-15
224,고산2동,아파트,은세계아파트경로당,달구벌대로 3081,053-792-9290,2025-09-15
225,고산2동,아파트,제림은탑맨션경로당,천을로 49,053-793-4726,2025-09-15
226,고산2동,아파트,노변청구타운경로당,시지로 21,053-792-0466,2025-09-15
227,고산2동,아파트,고산노변타운경로당,시지로 55,053-791-5058,2025-09-15
228,고산2동,아파트,노변동서우방타운경로당,노변공원로 22,053-792-1172,2025-09-15
229,고산2동,아파트,노변다숲경로당,노변공원로 34,053-793-4977,2025-09-15
230,고산2동,아파트,시지대백맨션경로당,달구벌대로625길 22,053-791-3640,2025-09-15
231,고산2동,아파트,노변대백맨션경로당,노변로 11,053-791-3574,2025-09-15
232,고산2동,아파트,수성월드메르디앙경로당,노변로 55,053-292-1981,2025-09-15
233,고산2동,아파트,시지태왕아너스경로당,천을로 91,053-266-7933,2025-09-15
234,고산2동,아파트,시지월드메르디앙경로당,천을로 70,053-792-6281,2025-09-15
235,고산2동,아파트,아이프라임시지경로당,달구벌대로 3110,053-793-5055,2025-09-15
236,고산2동,아파트,수성알파시티청아람아파트경로당,알파시티2로 96,0,2025-09-15
237,고산2동,아파트,수성알파시티 동화아이위시 경로당,알파시티2로 48,0,2025-09-15
238,고산3동,공설,사월경로당,달구벌대로 3321-4,0,2025-09-15
239,고산3동,공설,매호경로당,천을로31길 40,053-791-9505,2025-09-15
240,고산3동,공설,성동경로당,성동로 166,053-795-7667,2025-09-15
241,고산3동,공설,매호공원경로당,천을로23길 5,053-791-7300,2025-09-15
242,고산3동,공설,갯벌경로당,고산로 266,0,2025-09-15
243,고산3동,아파트,누리타운경로당,달구벌대로637길 21,053-792-9583,2025-09-15
244,고산3동,아파트,하나타운경로당,고산로 123,053-791-9022,2025-09-15
245,고산3동,아파트,두레타운경로당,천을로 131,053-793-1565,2025-09-15
246,고산3동,아파트,매호협화타운경로당,천을로 181,053-243-5204,2025-09-15
247,고산3동,아파트,동서타운학수정경로당,천을로 180,053-792-7253,2025-09-15
248,고산3동,아파트,사월보성타운경로당,욱수천로 133,053-793-3070,2025-09-15
249,고산3동,아파트,시지2차서한타운경로당,천을로31길 8,053-791-0032,2025-09-15
250,고산3동,아파트,시지3차신매보성타운경로당,달구벌대로651길 23,053-791-7178,2025-09-15
251,고산3동,아파트,신매우방타운경로당,달구벌대로651길 33,053-793-5344,2025-09-15
252,고산3동,아파트,매호2차동서타운경로당,달구벌대로641길 8,053-201-5771,2025-09-15
253,고산3동,아파트,시지우방하이츠경로당,달구벌대로645길 22,053-216-5080,2025-09-15
254,고산3동,아파트,시지2차태왕하이츠경로당,천을로 170,053-791-6750,2025-09-15
255,고산3동,아파트,시지1차태왕하이츠경로당,달구벌대로647길 16,053-793-4976,2025-09-15
256,고산3동,아파트,시지태왕리더스경로당,달구벌대로669길 70,053-795-2477,2025-09-15
257,고산3동,아파트,한일유앤아이경로당,고산로 162,053-795-2477,2025-09-15
258,고산3동,아파트,매호화성파크드림경로당,달구벌대로641길 31,053-295-2854,2025-09-15
259,고산3동,아파트,매호효성백년가약경로당,천을로23길 31,053-795-3370,2025-09-15
260,고산3동,아파트,시지푸르지오경로당,달구벌대로661길 7,053-795-3690,2025-09-15
261,고산3동,아파트,신매효성백년가약(청)경로당,달구벌대로 3233,053-795-3166,2025-09-15
262,고산3동,아파트,신매역 우방유쉘경로당,천을로23길 21,053-795-1778,2025-09-15
263,고산3동,아파트,매호청구하이츠빌경로당,천을로23길 26,053-794-4494,2025-09-15
264,고산3동,아파트,시지대성유니드경로당,달구벌대로669길 80,053-793-4020,2025-09-15
265,고산3동,아파트,시지동화아이위시경로당,달구벌대로669길 20,053-792-1299,2025-09-15
266,고산3동,아파트,시지한신휴플러스아파트경로당,달구벌대로669길 50,053-791-6116,2025-09-15
267,고산3동,아파트,아이프라임신매경로당,달구벌대로649길 14,0,2025-09-15
268,고산3동,아파트,시지3차서한이다음경로당,달구벌대로669길 20-20,0,2025-09-15
