무더위쉼터식별자,무더위쉼터명,주소,상세주소,유형,공간(면적),수용인원,선풍기수,에어컨수,냉방여부,휴게시설여부,야간운영여부,온도정보,전기사용여부,안내표지판여부,홍보여부,주말운영여부,위도,경도,담당자,담당자번호,담당자2,담당자2번호,담당자3,담당자3번호,사용여부,삭제여부
excel_00016,범어4동제1경로당,대구광역시 수성구 청호로85길 46,,경로당,162,40,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.8568884,128.6392213,서○○,053-666-2891,양○○,053-666-2610,강○○,053-666-3597,Y,N
excel_00017,국민은행범어4동지점,대구광역시 수성구 달구벌대로 2470,,은행,545,136,1,10,Y,Y,N,Y,N,Y,Y,N,35.8583536,128.6327521,서○○,053-666-2891,박○○,053-666-2558,강○○,053-666-3597,Y,N
excel_00018,iM뱅크범어4동지점,대구광역시 수성구 달구벌대로496길 26,,은행,228,57,1,4,Y,Y,N,Y,N,Y,Y,N,35.8569048,128.6339433,서○○,053-666-2891,박○○,053-666-2558,강○○,053-666-3597,Y,N
excel_00019,범어4동제2경로당,대구광역시 수성구 범어로20길 24-1 ,,경로당,122,30,3,2,Y,Y,N,Y,Y,Y,Y,Y,35.8578233,128.6371452,서○○,053-666-2891,양○○,053-666-2610,조○○,053-666-3607,Y,N
excel_00020,유신경로당,대구광역시 수성구 청호로88안길 25-2 ,,경로당,98,24,1,1,Y,Y,N,Y,Y,Y,Y,Y,35.856087,128.6421662,서○○,053-666-2891,양○○,053-666-2610,조○○,053-666-3607,Y,N
excel_00021,무열로119안전센터,대구광역시 수성구 무열로 139,,도서관,20,5,0,1,Y,Y,N,Y,N,Y,Y,N,35.8707208,128.6481684,서○○,053-666-2891,박○○,053-666-2558,임○○,053-741-0119,Y,N
excel_00022,만촌1동행정복지센터,대구광역시 수성구 국채보상로 1001,,행정복지센터,430,50,8,3,Y,Y,N,Y,N,Y,Y,N,35.8662803,128.6399648,서○○,053-666-2891,박○○,053-666-2558,차○○,053-666-3614,Y,N
excel_00023,iM뱅크메트로팔레스지점,대구광역시 수성구 동원로 135,,은행,115,20,3,2,Y,Y,N,Y,N,Y,Y,N,35.8693059,128.6343632,서○○,053-666-2891,박○○,053-666-2558,차○○,053-666-3614,Y,N
excel_00024,만촌1동 제1경로당,대구광역시 수성구 만촌로24길 37-20 ,,경로당,155,46,2,1,Y,Y,N,Y,Y,Y,Y,Y,35.8717085,128.6421104,서○○,053-666-2891,양○○,053-666-2610,차○○,053-666-3614,Y,N
excel_00025,느지경로당,대구광역시 수성구 화랑로40길 46,,경로당,197,54,2,3,Y,Y,N,Y,Y,Y,Y,Y,35.8767287,128.6484207,서○○,053-666-2891,양○○,053-666-2610,차○○,053-666-3614,Y,N
excel_00026,샘골경로당,대구광역시 수성구 공경로2길 21,,경로당,210,35,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.869705,128.6462575,서○○,053-666-2891,양○○,053-666-2610,차○○,053-666-3614,Y,N
excel_00027,만촌2동만촌경로당,대구광역시 수성구 동원로6길 50-13 ,,경로당,136,34,1,2,Y,Y,N,Y,Y,Y,Y,Y,35.8621881,128.6430305,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3635,Y,N
excel_00028,만촌2동행정복지센터,대구광역시 수성구 무열로 12,,행정복지센터,50,12,2,1,Y,Y,N,Y,N,Y,Y,N,35.8599722,128.6472228,서○○,053-666-2891,박○○,053-666-2558,장○○,053-666-3635,Y,N
excel_00029,지장경로당,대구광역시 수성구 무열로 65-1 ,,경로당,179,44,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.8645848,128.6488241,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3635,Y,N
excel_00030,두봉골경로당,대구광역시 수성구 달구벌대로522길 121-18 ,,경로당,149.42,48,4,2,Y,Y,N,Y,Y,Y,Y,Y,35.8524685,128.6450839,서○○,053-666-2891,양○○,053-666-2610,우○○,053-666-3653,Y,N
excel_00031,만촌119안전센터,대구광역시 수성구 달구벌대로 2658,,도서관,32,8,0,1,Y,Y,Y,Y,N,Y,Y,Y,35.855451,128.65212,서○○,053-666-2891,박○○,053-666-2558,심○○,053-607-3842,Y,N
excel_00032,만촌3동행정복지센터,대구광역시 수성구 교학로2길 45,,행정복지센터,20,6,3,1,Y,Y,N,Y,N,Y,Y,N,35.8555868,128.6506179,서○○,053-666-2891,박○○,053-666-2558,우○○,053-666-3653,Y,N
excel_00033,만촌3동 제1경로당,대구광역시 수성구 달구벌대로526안길 6,,경로당,25,7,3,2,Y,Y,N,Y,Y,Y,Y,Y,35.8564288,128.6489877,서○○,053-666-2891,양○○,053-666-2610,윤○○,053-666-3663,Y,N
excel_00034,동대구농협만촌지점,대구광역시 수성구 달구벌대로 2668,,은행,20,5,1,1,Y,Y,N,Y,N,Y,Y,N,35.8549657,128.6529735,서○○,053-666-2891,박○○,053-666-2558,우○○,053-666-3653,Y,N
excel_00035,iM뱅크만촌역지점,대구광역시 수성구 달구벌대로 2626,,은행,20,5,1,1,Y,Y,N,Y,N,Y,Y,N,35.8567418,128.649618,서○○,053-666-2891,박○○,053-666-2558,우○○,053-666-3653,Y,N
excel_00036,각계경로당,대구광역시 수성구 달구벌대로530길 146,,경로당,168,50,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8498115,128.6510247,서○○,053-666-2891,양○○,053-666-2610,윤○○,053-666-3663,Y,N
excel_00037,두리봉경로당,대구광역시 수성구 달구벌대로530길 92,,경로당,129,39,4,2,Y,Y,N,Y,Y,Y,Y,Y,35.8523137,128.651269,서○○,053-666-2891,양○○,053-666-2610,윤○○,053-666-3663,Y,N
excel_00038,수성1가 제2경로당,대구광역시 수성구 달구벌대로456길 11,,경로당,89,22,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8594063,128.6113895,서○○,053-666-2891,양○○,053-666-2610,박○○,053-666-3671,Y,N
excel_00039,수성1가 제1경로당,대구광역시 수성구 수성로53길 50-4 ,,경로당,131,32,4,3,Y,Y,N,Y,Y,Y,Y,N,35.850481,128.6103998,서○○,053-666-2891,양○○,053-666-2610,박○○,053-666-3671,Y,N
excel_00040,수성1가동행정복지센터,대구광역시 수성구 명덕로73길 7,,행정복지센터,25,7,2,4,Y,Y,N,Y,N,Y,Y,N,35.8552418,128.6103298,서○○,053-666-2891,박○○,053-666-2558,박○○,053-666-3671,Y,N
excel_00041,수성2.3가동행정복지센터,대구광역시 수성구 명덕로 443-2 ,,행정복지센터,20,5,1,1,Y,Y,N,Y,N,Y,Y,N,35.8547536,128.6189949,서○○,053-666-2891,박○○,053-666-2558,손○○,053-666-3692,Y,N
excel_00042,Sh수협은행 경북지역금융본부,대구광역시 수성구 달구벌대로 2348,,은행,25,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8592157,128.6193359,서○○,053-666-2891,박○○,053-666-2558,손○○,053-666-3692,Y,N
excel_00043,동대구농협수성지점,대구광역시 수성구 명덕로 455,,은행,25,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8543853,128.6197624,서○○,053-666-2891,박○○,053-666-2558,손○○,053-666-3692,Y,N
excel_00044,iM뱅크 본점,대구광역시 수성구 달구벌대로 2310,,은행,25,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8592,128.6149209,서○○,053-666-2891,박○○,053-666-2558,손○○,053-666-3692,Y,N
excel_00045,열린경로당,대구광역시 수성구 명덕로 405-4 ,,경로당,61,18,3,2,Y,Y,N,Y,Y,Y,Y,Y,35.854845,128.614559,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3702,Y,N
excel_00046,한마음경로당,대구광역시 수성구 들안로52길 35-1 ,,경로당,82,24,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8527872,128.6190858,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3702,Y,N
excel_00047,수성2가참마음경로당,대구광역시 수성구 수성로60길 45-1 ,,경로당,76,23,3,2,Y,Y,N,Y,Y,Y,Y,Y,35.852451,128.6160921,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3702,Y,N
excel_00048,수성4가동행정복지센터,대구광역시 수성구 들안로67길 64,,행정복지센터,50,15,2,1,Y,Y,N,Y,N,Y,Y,N,35.8626471,128.6166444,서○○,053-666-2891,박○○,053-666-2558,문○○,053-666-3717,Y,N
excel_00049,수성4가동경로당,대구광역시 수성구 범어천로 151,,경로당,65,19,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8602535,128.622157,서○○,053-666-2891,양○○,053-666-2610,옥○○,053-666-3718,Y,N
excel_00050,수성4가미수경로당,대구광역시 수성구 들안로81길 29,,경로당,125,37,2,1,Y,Y,N,Y,Y,Y,Y,N,35.8660476,128.616578,서○○,053-666-2891,양○○,053-666-2610,옥○○,053-666-3718,Y,N
excel_00051,신천경로당,대구광역시 수성구 신천동로88길 1-15 ,,경로당,135,40,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8629988,128.613033,서○○,053-666-2891,양○○,053-666-2610,옥○○,053-666-3718,Y,N
excel_00052,황금1동행정복지센터,대구광역시 수성구 청호로57길 10,,행정복지센터,25,7,2,1,Y,Y,N,Y,N,Y,Y,N,35.843946,128.6381429,서○○,053-666-2891,박○○,053-666-2558,여○○,053-666-3731,Y,N
excel_00053,iM뱅크황금동지점,대구광역시 수성구 청수로 235,,은행,20,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8408769,128.6337293,서○○,053-666-2891,박○○,053-666-2558,여○○,053-666-3731,Y,N
excel_00054,황금복지관,대구광역시 수성구 청수로45길 41,,복지관,25,7,1,2,Y,Y,N,Y,N,Y,Y,Y,35.8435523,128.6320211,서○○,053-666-2891,양○○,053-666-2610,여○○,053-666-3731,Y,N
excel_00055,황금2동행정복지센터,대구광역시 수성구 청솔로2길 64,,행정복지센터,133,33,2,3,Y,Y,N,Y,N,Y,Y,N,35.8472024,128.6236471,서○○,053-666-2891,박○○,053-666-2558,이○○,053-666-3761,Y,N
excel_00056,황금2동 제2경로당,대구광역시 수성구 들안로40안길 7-20 ,,경로당,99,24,4,2,Y,Y,N,Y,Y,Y,Y,Y,35.8475555,128.61888,서○○,053-666-2891,양○○,053-666-2610,이○○,053-666-3761,Y,N
excel_00057,iM뱅크황금네거리지점,대구광역시 수성구 동대구로 111,,은행,100,25,1,1,Y,Y,N,Y,N,Y,Y,N,35.8403266,128.6235382,서○○,053-666-2891,박○○,053-666-2558,이○○,053-666-3761,Y,N
excel_00058,황금2동 제1경로당,대구광역시 수성구 희망로36길 32,,경로당,99,30,2,4,Y,Y,N,Y,Y,Y,Y,Y,35.8457853,128.6192307,서○○,053-666-2891,양○○,053-666-2610,이○○,053-666-3761,Y,N
excel_00059,중동행정복지센터,대구광역시 수성구 수성로50길 38,,행정복지센터,20,6,2,2,Y,Y,N,Y,N,Y,Y,N,35.8473522,128.6150938,서○○,053-666-2891,박○○,053-666-2558,안○○,053-666-3771,Y,N
excel_00060,수성구보건소,대구광역시 수성구 수성로 213,,D,35,10,2,1,Y,Y,N,Y,N,Y,Y,N,35.8448237,128.6119115,서○○,053-666-2891,박○○,053-666-2558,안○○,053-666-3771,Y,N
excel_00061,NH농협은행 대구중동금융센터,대구광역시 수성구 희망로 124,,은행,25,7,1,1,Y,Y,N,Y,N,Y,Y,N,35.8469078,128.6119334,서○○,053-666-2891,박○○,053-666-2558,안○○,053-666-3771,Y,N
excel_00062,중동새마을금고본점,대구광역시 수성구 수성로 207,,은행,25,7,1,1,Y,Y,N,Y,N,Y,Y,N,35.8441151,128.6123073,서○○,053-666-2891,박○○,053-666-2558,안○○,053-666-3771,Y,N
excel_00063,iM뱅크중동지점,대구광역시 수성구 수성로 248,,은행,20,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8475013,128.6131971,서○○,053-666-2891,박○○,053-666-2558,안○○,053-666-3771,Y,N
excel_00064,중동중부리경로당,대구광역시 수성구 수성로52안길 7-10 ,,경로당,20,6,6,2,Y,Y,N,Y,Y,Y,Y,Y,35.8498621,128.61521,서○○,053-666-2891,양○○,053-666-2610,안○○,053-666-3771,Y,N
excel_00065,중동경로당,대구광역시 수성구 수성로39안길 5,,경로당,205,48,4,4,Y,Y,N,Y,Y,Y,Y,Y,35.8436893,128.6114586,서○○,053-666-2891,양○○,053-666-2610,안○○,053-666-3771,Y,N
excel_00066,상록수경로당,대구광역시 수성구 들안로29길 26-18 ,,경로당,142,43,2,2,Y,Y,N,Y,Y,Y,Y,Y,35.8444736,128.6154304,서○○,053-666-2891,양○○,053-666-2610,안○○,053-666-3771,Y,N
excel_00067,상동행정복지센터,대구광역시 수성구 들안로9길 56,,행정복지센터,20,5,3,2,Y,Y,N,Y,N,Y,Y,N,35.8321267,128.6154609,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3795,Y,N
excel_00068,동대구농협상동지점,대구광역시 수성구 수성로 114,,은행,20,5,1,1,Y,Y,N,Y,N,Y,Y,N,35.8356284,128.6120698,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3795,Y,N
excel_00069,iM뱅크파동지점,대구광역시 수성구 수성로 5,,은행,20,5,1,1,Y,Y,N,Y,N,Y,Y,N,35.8259891,128.6098758,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3795,Y,N
excel_00070,한들경로당,대구광역시 수성구 수성로32길 99,,경로당,216,65,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8367721,128.6136874,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3807,Y,N
excel_00071,덕화경로당,대구광역시 수성구 들안로9길 56,,경로당,112,30,4,3,Y,Y,N,Y,Y,Y,Y,N,35.8322105,128.615571,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3807,Y,N
excel_00072,상동제2경로당,대구광역시 수성구 수성로15길 42-6 ,,경로당,154,46,2,1,Y,Y,N,Y,Y,Y,Y,N,35.8330811,128.6089288,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3807,Y,N
excel_00073,상동공원경로당,대구광역시 수성구 들안로13길 118,,경로당,164,49,5,3,Y,Y,N,Y,Y,Y,Y,N,35.8395474,128.615531,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3807,Y,N
excel_00074,파동 제2경로당,대구광역시 수성구 파동로18길 56,,경로당,297,40,3,3,Y,Y,N,Y,Y,Y,Y,N,35.8114729,128.6212483,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3822,Y,N
excel_00075,상동119안전센터,대구광역시 수성구 파동로51길 5,,도서관,20,5,3,2,Y,Y,N,Y,N,Y,Y,N,35.825112,128.609511,서○○,053-666-2891,박○○,053-666-2558,임○○,053-765-0119,Y,N
excel_00076,파동행정복지센터,대구광역시 수성구 파동로 136,,행정복지센터,20,5,10,2,Y,Y,N,Y,N,Y,Y,N,35.8154842,128.61532,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3822,Y,N
excel_00077,파동우체국,대구광역시 수성구 파동로 59,,은행,30,9,3,2,Y,Y,N,Y,N,Y,Y,N,35.8096871,128.6193681,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3822,Y,N
excel_00078,두레새마을금고,대구광역시 수성구 파동로 189,,은행,20,6,1,1,Y,Y,N,Y,N,Y,Y,N,35.8197281,128.6124166,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3822,Y,N
excel_00079,파동평생학습센터,대구광역시 수성구 파동로3길 62,,도서관,80,20,0,3,Y,Y,N,Y,N,Y,Y,N,35.8104963,128.6182737,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3822,Y,N
excel_00080,파동 제1경로당,대구광역시 수성구 파동로38길 45-13 ,,경로당,299,90,3,3,Y,Y,N,Y,Y,Y,Y,N,35.8188423,128.6151401,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3822,Y,N
excel_00081,두산동행정복지센터,대구광역시 수성구 상화로 95,,행정복지센터,20,6,2,7,Y,Y,N,Y,N,Y,Y,N,35.8353396,128.61761,서○○,053-666-2891,박○○,053-666-2558,양○○,053-666-3843,Y,N
excel_00082,두산경로당,대구광역시 수성구 들안로8길 68-5 ,,경로당,25,7,4,3,Y,Y,N,Y,Y,Y,Y,N,35.8341818,128.6197578,서○○,053-666-2891,양○○,053-666-2610,양○○,053-666-3843,Y,N
excel_00083,두산 제1경로당,대구광역시 수성구 지범로 21-11 ,,경로당,120,36,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8291873,128.625019,서○○,053-666-2891,양○○,053-666-2610,양○○,053-666-3843,Y,N
excel_00084,황금119안전센터,대구광역시 수성구 동대구로12길 41,,도서관,20,5,1,1,Y,Y,N,Y,N,Y,Y,Y,35.8355675,128.6264867,서○○,053-666-2891,박○○,053-666-2558,황○○,053-607-3850,Y,N
excel_00085,지산1동행정복지센터,대구광역시 수성구 지범로21길 16,,행정복지센터,20,5,2,1,Y,Y,N,Y,N,Y,Y,N,35.8249315,128.6370116,서○○,053-666-2891,박○○,053-666-2558,최○○,053-666-3855,Y,N
excel_00086,지산종합사회복지관,대구광역시 수성구 용학로 325,,복지관,"2,406.00",500,3,1,Y,Y,N,Y,N,Y,Y,N,35.8245787,128.6426587,서○○,053-666-2891,박○○,053-666-2558,최○○,053-666-3855,Y,N
excel_00087,지산무학 경로당,대구광역시 수성구 청수로38길 53-11 ,,경로당,164,49,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8366323,128.6286042,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3855,Y,N
excel_00088,수동경로당,대구광역시 수성구 지범로31안길 3-14 ,,경로당,161,48,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8243617,128.6405658,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3855,Y,N
excel_00089,새마을경로당,대구광역시 수성구 무학로31길 23,,경로당,107,32,5,2,Y,Y,N,Y,Y,Y,Y,N,35.8314842,128.6264664,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3855,Y,N
excel_00090,지산1동경로당,대구광역시 수성구 지산로11길 6-19 ,,경로당,147,38,5,2,Y,Y,N,Y,Y,Y,Y,N,35.8270078,128.6332391,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3855,Y,N
excel_00091,거성경로당,대구광역시 수성구 용학로48길 25-1 ,,경로당,140,20,4,4,Y,Y,N,Y,Y,Y,Y,N,35.819134,128.6352074,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3878,Y,N
excel_00092,지산2동행정복지센터,대구광역시 수성구 용학로33길 9,,행정복지센터,849,20,12,3,Y,Y,N,Y,N,Y,Y,N,35.8230826,128.6280072,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3878,Y,N
excel_00093,지산2동 경로당,대구광역시 수성구 용학로33길 17-16 ,,경로당,205,20,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8238005,128.6276978,서○○,053-666-2891,양○○,053-666-2610,김○○,053-666-3878,Y,N
excel_00094,동대구농협수동지점,대구광역시 수성구 용학로42길 9,,은행,309,20,0,4,Y,Y,N,Y,N,Y,Y,N,35.8210342,128.6323607,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3878,Y,N
excel_00095,범물119안전센터,대구광역시 수성구 청호로 87,,도서관,32,8,3,2,Y,Y,Y,Y,N,Y,Y,Y,35.8255167,128.64424,서○○,053-666-2891,박○○,053-666-2558,김○○,053-607-3820,Y,N
excel_00096,범물1동행정복지센터,대구광역시 수성구 범안로 76,,행정복지센터,20,5,4,2,Y,Y,N,Y,N,Y,Y,N,35.8177469,128.6459958,서○○,053-666-2891,박○○,053-666-2558,최○○,053-666-3893,Y,N
excel_00097,범물복지관,대구광역시 수성구 범안로 79,,복지관,20,5,4,2,Y,Y,N,Y,N,Y,Y,N,35.8197909,128.6456619,서○○,053-666-2891,박○○,053-666-2558,최○○,053-666-3893,Y,N
excel_00098,범물노인복지관,대구광역시 수성구 범안로 99,,복지관,"1,791.00",392,0,28,Y,Y,N,Y,N,Y,Y,N,35.819232,128.648679,서○○,053-666-2891,박○○,053-666-2558,최○○,053-666-3893,Y,N
excel_00099,용학도서관,대구광역시 수성구 지범로41길 36,,도서관,709,50,0,10,Y,Y,N,Y,N,Y,Y,N,35.8212086,128.6461306,서○○,053-666-2891,박○○,053-666-2558,최○○,053-666-3893,Y,N
excel_00100,범물경로당,대구광역시 수성구 범안로16길 46,,경로당,166,34,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8163867,128.6473521,서○○,053-666-2891,양○○,053-666-2610,최○○,053-666-3893,Y,N
excel_00101,iM뱅크지산지점,대구광역시 수성구 지범로 188,,은행,909,25,1,1,Y,Y,N,Y,N,Y,Y,N,35.8209657,128.6396196,서○○,053-666-2891,박○○,053-666-2558,권○○,053-666-3914,Y,N
excel_00102,범물2동경로당,대구광역시 수성구 지범로48길 14-1 ,,경로당,172,20,4,2,Y,Y,N,Y,Y,Y,Y,N,35.8160045,128.6436176,서○○,053-666-2891,양○○,053-666-2610,권○○,053-666-3914,Y,N
excel_00103,범물2동행정복지센터,대구광역시 수성구 범안로 52,,행정복지센터,354,25,2,1,Y,Y,N,Y,N,Y,Y,N,35.8175861,128.6435516,서○○,053-666-2891,박○○,053-666-2558,권○○,053-666-3914,Y,N
excel_00104,범물공원경로당,대구광역시 수성구 지범로 232,,경로당,65,15,3,2,Y,Y,N,Y,Y,Y,Y,N,35.8184053,128.6433575,서○○,053-666-2891,양○○,053-666-2610,권○○,053-666-3914,Y,N
excel_00105,고산119안전센터,대구광역시 수성구 고산로 105,,도서관,20,5,5,1,Y,Y,N,Y,N,Y,Y,N,35.8402134,128.7045097,서○○,053-666-2891,박○○,053-666-2558,이○○,053-607-3892,Y,N
excel_00106,고산1동행정복지센터,대구광역시 수성구 달구벌대로 3260-2 ,,행정복지센터,20,5,1,7,Y,Y,N,Y,N,Y,Y,N,35.8370509,128.7123775,서○○,053-666-2891,박○○,053-666-2558,정○○,053-666-3941,Y,N
excel_00107,iM뱅크시지지점,대구광역시 수성구 달구벌대로 3196,,은행,25,7,0,5,Y,Y,N,Y,N,Y,Y,N,35.8404849,128.7062121,서○○,053-666-2891,박○○,053-666-2558,정○○,053-666-3941,Y,N
excel_00108,고산노인복지관,대구광역시 수성구 욱수천로 99,,복지관,"1,111.00",260,0,2,Y,Y,N,Y,N,Y,Y,N,35.8370026,128.7128162,서○○,053-666-2891,박○○,053-666-2558,김○○,053-666-3931,Y,N
excel_00109,고산건강생활지원센터,대구광역시 수성구 욱수천로 99,,D,30,9,0,2,Y,Y,N,Y,N,Y,Y,N,35.8370113,128.712827,서○○,053-666-2891,박○○,053-666-2558,이○○,053-666-3207,Y,N
excel_00110,고산도서관,대구광역시 수성구 달구벌대로650길 6,,도서관,20,6,0,3,Y,Y,N,Y,N,Y,Y,N,35.8379159,128.7106103,서○○,053-666-2891,박○○,053-666-2558,정○○,053-666-3941,Y,N
excel_00111,신매경로당,대구광역시 수성구 욱수천로 78,,경로당,93,28,2,6,Y,Y,N,Y,Y,Y,Y,N,35.8356198,128.7122471,서○○,053-666-2891,양○○,053-666-2610,정○○,053-666-3941,Y,N
excel_00112,욱수동경로당,대구광역시 수성구 욱수천로 15,,경로당,134,40,2,3,Y,Y,N,Y,Y,Y,Y,Y,35.8304741,128.7099008,서○○,053-666-2891,양○○,053-666-2610,정○○,053-666-3941,Y,N
excel_00113,욱수공원노인정,대구광역시 수성구 달구벌대로650길 59-6 ,,경로당,93,28,3,2,Y,Y,N,Y,Y,Y,Y,Y,35.8329089,128.7090994,서○○,053-666-2891,양○○,053-666-2610,정○○,053-666-3941,Y,N
excel_00114,연호동 제2경로당,대구광역시 수성구 달구벌대로569길 20,,경로당,133.67,44,4,2,Y,N,N,Y,Y,N,Y,N,35.8476904,128.6729133,서○○,053-666-2891,양○○,053-666-2610,장○○,053-666-3953,Y,N
