대응시설부족도순위,구·군,행정동,행정동코드,미래온열질환위험,지역취약도,보호필요도,시설대응력,시설대응력부족분(100-시설대응력),대응시설부족도,지역취약도결합방법,시설대응력결합방법,미래위험대체처리,미래위험대체처리요약,시설대응력종합모형,그늘막자료상태,시설대응력대체처리·주의
11,달서구,월성2동,2729060200,49.89,65.3,56.05,16.03,83.97,64.43,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
12,군위군,삼국유사면,2772037000,58.65,72.55,64.21,41.13,58.87,62.61,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·추가 공개 좌표자료 미확인: 종합점수는 쉼터 단독 대체
13,달성군,하빈면,2771033000,46.87,63.26,53.43,32.78,67.22,57.57,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
14,중구,남산3동,2711066000,71.02,52.19,63.49,57.61,42.39,57.16,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
15,남구,대명11동,2720066000,46.92,56.55,50.77,28.28,71.72,57.06,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
16,중구,동인동,2711051700,71.02,39.52,58.42,47.35,52.65,56.69,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 쉼터 수용인원 1건 시설유형 중앙값 대체
17,남구,대명4동,2720059000,46.92,60.47,52.34,33.83,66.17,56.49,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
18,중구,남산4동,2711067000,71.02,45.11,60.66,53.76,46.24,56.33,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
19,중구,대신동,2711059500,71.02,45.76,60.92,55.97,44.03,55.85,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
20,중구,대봉1동,2711068000,71.02,45.6,60.85,57.86,42.14,55.24,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
21,중구,대봉2동,2711069000,71.02,39.52,58.42,52.51,47.49,55.14,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
22,중구,남산1동,2711064000,71.02,44.25,60.31,57.68,42.32,54.91,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 쉼터 수용인원 1건 시설유형 중앙값 대체
23,달서구,신당동,2729058500,49.89,33.53,43.35,20.21,79.79,54.28,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
24,남구,봉덕3동,2720055000,46.92,41.65,44.81,25.13,74.87,53.83,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
25,달성군,옥포읍,2771026200,51.56,29.86,42.88,21.94,78.06,53.43,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
26,달성군,현풍읍,2771026500,52.93,28.35,43.1,23.46,76.54,53.13,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
27,달서구,장기동,2729056800,49.89,35.86,44.28,26.64,73.36,53,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
28,달서구,송현2동,2729064000,49.89,56.98,52.73,46.99,53.01,52.81,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
29,남구,대명9동,2720064000,46.92,37.21,43.04,24.56,75.44,52.76,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
30,달성군,화원읍,2771025000,51.56,26.67,41.6,22.77,77.23,52.29,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
31,달서구,상인1동,2729062400,49.89,40.01,45.94,33.47,66.53,52.12,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
32,중구,성내2동,2711057500,71.02,34.94,56.59,59.09,40.91,51.89,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
33,중구,삼덕동,2711054500,71.02,33.06,55.84,57.72,42.28,51.77,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
34,중구,성내1동,2711056500,71.02,39.58,58.44,64.42,35.58,51.58,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
35,남구,대명10동,2720065000,46.92,61.18,52.62,50.92,49.08,51.56,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
36,동구,지저동,2714064000,39.8,48.15,43.14,29.07,70.93,51.48,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
37,동구,해안동,2714068500,35.39,47.52,40.24,23.04,76.96,51.26,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
38,동구,효목1동,2714059000,39.8,62.48,48.87,43.97,56.03,51.02,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
39,동구,도평동,2714061500,35.39,41.49,37.83,18.53,81.47,50.92,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
40,중구,남산2동,2711065000,71.02,40.36,58.76,67.54,32.46,50.87,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
41,서구,비산7동,2717061000,41.29,53.59,46.21,38.55,61.45,50.78,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,쉼터 단독 대체,미확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 전국 표준 그늘막 0건·구별 인증 API 상세행 미확보: 종합점수는 쉼터 단독 대체
42,남구,대명1동,2720056000,46.92,56,50.55,48.79,51.21,50.75,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
43,달서구,진천동,2729061500,49.89,27.57,40.96,27.25,72.75,50.5,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
44,달성군,구지면,2771038000,52.93,22.23,40.65,27.12,72.88,50.32,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
45,남구,봉덕1동,2720053000,46.92,60.51,52.36,54.69,45.31,50.24,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
46,중구,성내3동,2711058500,71.02,24.87,52.56,55.31,44.69,50.2,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
47,달서구,감삼동,2729055500,49.89,35.56,44.16,36.8,63.2,49.87,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
48,남구,대명6동,2720061000,46.92,33.83,41.68,31.36,68.64,49.77,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계; 쉼터 수용인원 1건 시설유형 중앙값 대체
49,달서구,월성1동,2729060100,49.89,22.87,39.08,26.41,73.59,49.43,구·군+행정동명(취약도 파일에 행정동코드 없음),행정동코드 일치,Y,행정동 환자자료 부재→구군 환자율 모형; KMA 일자료 미확보→ERA5-Land; 미래 일자료 부재→RDA 월기온 델타 합성; RDA 습도 이상치→과거 습도 고정; 미래 인구 부재→2026-07 인구 고정,가이드 70:30,확인,행정동내 고령인구 균등분포 가정; LST·실보행량 대신 횡단보도·인구밀도 대체지표; 2025-12-31 공개 가공 경계
